Date,equity
2024-11-22,14052.92899999996
2024-11-25,13948.75399999996
2024-11-26,13987.17899999996
2024-12-09,13820.297999999962
2024-12-10,13687.451999999963
2024-12-11,13885.242999999966
2024-12-12,14073.48299999997
2024-12-13,14059.75899999997
2024-12-16,14070.897999999968
2024-12-17,14076.594999999967
2024-12-18,14248.051999999967
2024-12-19,14225.910999999967
2024-12-27,14203.769999999968
2024-12-30,14159.487999999968
2025-01-02,14143.559999999972
2025-01-03,13786.140999999972
2025-01-06,13811.904999999972
2025-01-08,13719.38299999997
2025-01-09,13750.691999999972
2025-01-10,13727.796999999975
2025-01-13,13674.025999999974
2025-01-14,13697.574999999973
2025-01-16,13561.090999999973
2025-01-17,13590.159999999973
2025-01-21,13506.69499999997
2025-01-22,13769.877999999973
2025-01-24,13874.297999999973
2025-01-28,13747.777999999975
2025-01-30,13621.257999999974
2025-01-31,13912.61799999997
2025-02-03,13984.001999999968
2025-02-04,13994.813999999966
2025-02-05,14023.961999999963
2025-02-07,14040.365999999965
2025-02-10,14094.305999999964
2025-02-11,14237.537999999964
2025-02-14,14261.092999999964
2025-02-17,14213.647999999965
2025-02-19,14095.987999999965
2025-02-20,14078.017999999962
2025-02-24,14030.572999999962
2025-02-27,14001.238999999958
2025-02-28,14305.24999999996
2025-03-04,14235.514999999963
2025-03-05,14188.069999999963
2025-03-07,14140.624999999964
2025-03-10,13963.496999999963
2025-03-11,13916.051999999963
2025-03-13,13902.88399999996
2025-03-14,13811.31099999996
2025-03-18,13853.271999999963
2025-03-19,13792.263999999963
2025-03-20,13781.95799999996
2025-03-21,13765.53199999996
2025-03-27,13717.672999999957
2025-03-28,13750.687999999956
2025-03-31,13969.666999999954
2025-04-01,14014.054999999957
2025-04-03,14037.646999999955
2025-04-04,14173.291999999958
2025-04-07,14163.64699999996
2025-04-09,13834.694999999962
2025-04-10,13589.645999999962
2025-04-11,14038.184999999965
2025-04-14,13955.946999999966
2025-04-16,15199.837999999949
2025-04-17,15313.76999999995
2025-04-21,15425.805999999946
2025-04-22,15861.449999999943
2025-04-23,15833.455999999942
2025-05-01,16155.28899999994
2025-05-05,16145.411999999938
2025-05-06,17182.229999999938
2025-05-08,17389.73599999994
2025-05-09,17187.303999999942
2025-05-12,17146.828999999925
2025-05-14,17479.72199999992
2025-05-15,18052.50499999993
2025-05-21,17994.325999999928
2025-05-22,17908.907999999927
2025-05-23,17564.140999999927
2025-05-27,17393.338999999927
2025-05-28,17336.404999999926
2025-05-29,17373.336999999927
2025-06-02,17347.842999999928
2025-06-03,17497.656999999926
2025-06-05,17439.679999999928
2025-06-06,17395.39799999993
2025-06-09,17304.910999999927
2025-06-12,17329.30999999992
2025-06-13,17365.174999999923
2025-06-16,17320.66499999992
2025-06-17,17241.58999999992
2025-06-19,17205.80599999992
2025-06-20,17093.629999999925
2025-06-24,18349.371999999923
2025-06-27,19001.853999999927
2025-06-30,18843.703999999925
2025-07-01,19553.057999999925
2025-07-03,19660.28199999992
2025-07-07,19406.573999999913
2025-07-08,19411.104999999905
2025-07-09,18927.165999999903
2025-07-11,18936.625999999902
2025-07-14,18828.5389999999
2025-07-16,18755.7899999999
2025-07-17,18813.480999999898
2025-07-21,18667.9829999999
2025-07-22,18898.6379999999
2025-07-23,18753.1399999999
2025-07-24,18680.3909999999
2025-07-25,18932.1039999999
2025-07-28,18786.6059999999
2025-07-29,18820.7769999999
2025-07-30,18860.6609999999
2025-08-01,18715.1629999999
2025-08-04,18860.217999999903
2025-08-05,18746.349999999904
2025-08-07,18770.582999999897
2025-08-08,18688.3449999999
2025-08-11,18583.868999999897
2025-08-12,18518.1129999999
2025-08-14,18408.8259999999
2025-08-18,18453.676999999894
2025-08-19,18380.927999999898
2025-08-20,18430.458999999897
2025-08-26,18320.691999999897
2025-08-27,18331.164999999903
2025-08-28,18287.091999999902
2025-08-29,18633.1609999999
2025-09-01,19081.690999999897
2025-09-02,19255.66299999989
2025-09-03,19486.637999999897
2025-09-05,19441.725999999893
2025-09-08,19502.685999999892
2025-09-09,19494.093999999895
2025-10-15,20714.006999999903
2025-10-16,20357.446999999906
2025-10-17,21244.50499999991
2025-10-20,21121.147999999906
2025-10-22,21572.806999999913
2025-10-27,21635.492999999908
2025-10-28,21338.864999999914
2025-11-06,20880.229999999916
2025-11-07,20858.000999999924
2025-11-10,22291.064999999937
2025-11-11,22216.30899999993
2025-11-12,22762.181999999935
2025-11-13,23080.902999999933
2025-11-14,22929.078999999932
2025-11-17,23916.863999999947
2025-11-18,23689.127999999946
2025-11-19,23962.233999999953
2025-11-25,23802.648999999947
2025-11-26,23742.76099999994
2025-11-28,24061.47599999993
2025-12-01,23941.690999999933
2025-12-09,23890.656999999926
2025-12-11,24228.65299999992
2025-12-12,24833.89299999992
2025-12-18,25380.46299999993
2025-12-22,25737.915999999947
2025-12-23,26542.183999999943
2025-12-24,27136.56199999994
2025-12-26,27039.509999999937
2025-12-29,27480.08199999994
2025-12-30,27631.663999999942
