pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance,atr_ratio,trend,multiplier
52,BUY,2025.08.25 12:00:00,3364.09,0.11,3361.09,3384.09,2025.08.25 12:49:00,0.06,3367.19,18.60,2025.08.25 16:00:31,3364.09,0.05,SL,0.00,240.52,18.60,9156.90,0.759,range,1.00
53,SELL,2025.10.23 08:00:00,4089.49,0.11,4092.49,4069.49,,0.00,0.00,0.00,2025.10.23 08:07:39,4092.54,0.11,SL,-33.55,7.65,-33.55,9123.35,1.875,strong_up,1.00
54,BUY,2025.11.10 08:00:00,4069.65,0.11,4066.65,4089.65,2025.11.10 08:30:00,0.06,4072.83,19.08,2025.11.10 14:14:40,4089.65,0.05,TP,100.00,374.67,119.08,9242.43,1.274,strong_up,1.00
55,SELL,2025.12.09 20:00:00,4203.08,0.11,4206.08,4183.08,,0.00,0.00,0.00,2025.12.09 20:14:28,4206.08,0.11,SL,-33.00,14.47,-33.00,9209.43,0.694,strong_up,1.00
56,SELL,2025.12.31 16:00:00,4345.80,0.11,4348.80,4325.80,2025.12.31 16:04:00,0.06,4340.76,30.24,2025.12.31 16:32:39,4345.82,0.05,SL,-0.10,32.65,30.14,9239.57,0.958,strong_up,1.00
57,BUY,2026.01.07 12:00:00,4463.60,0.11,4460.60,4483.60,,0.00,0.00,0.00,2026.01.07 12:27:17,4460.59,0.11,SL,-33.11,27.28,-33.11,9206.46,0.993,strong_up,1.00
58,SELL,2026.02.03 08:00:00,4827.97,0.11,4830.97,4807.97,2026.02.03 08:02:00,0.06,4820.74,43.38,2026.02.03 08:09:11,4828.14,0.05,SL,-0.85,9.18,42.53,9248.99,2.008,strong_up,1.00
59,BUY,2026.02.10 20:00:00,5025.97,0.11,5022.97,5045.97,,0.00,0.00,0.00,2026.02.10 20:00:55,5022.81,0.11,SL,-34.76,0.92,-34.76,9214.23,2.245,strong_up,1.00
60,SELL,2026.02.17 16:00:00,4870.61,0.11,4873.61,4850.61,,0.00,0.00,0.00,2026.02.17 16:00:15,4873.93,0.11,SL,-36.52,0.25,-36.52,9177.71,2.092,mixed,1.00
61,BUY,2026.02.23 08:00:00,5158.54,0.11,5155.54,5178.54,,0.00,0.00,0.00,2026.02.23 08:29:04,5155.14,0.11,SL,-37.40,29.07,-37.40,9140.31,1.157,strong_up,1.00
62,SELL,2026.03.05 20:00:00,5063.36,0.11,5066.36,5043.36,,0.00,0.00,0.00,2026.03.05 20:05:05,5067.12,0.11,SL,-41.36,5.08,-41.36,9098.95,0.948,mixed,1.00
63,BUY,2026.03.12 20:00:00,5123.42,0.11,5120.42,5143.42,2026.03.12 20:08:00,0.06,5127.65,25.38,2026.03.12 20:11:17,5123.23,0.05,SL,-0.95,11.28,24.43,9123.38,0.922,strong_up,1.00
64,SELL,2026.03.16 08:00:00,5012.72,0.11,5015.72,4992.72,,0.00,0.00,0.00,2026.03.16 08:01:32,5015.95,0.11,SL,-35.53,1.53,-35.53,9087.85,0.885,mixed,1.00
65,SELL,2026.04.22 20:00:00,4728.76,0.11,4731.76,4708.76,,0.00,0.00,0.00,2026.04.22 20:01:29,4732.32,0.11,SL,-39.16,1.48,-39.16,9048.69,0.635,mixed,1.00
66,BUY,2026.05.07 16:00:00,4750.33,0.11,4747.33,4770.33,,0.00,0.00,0.00,2026.05.07 16:00:21,4747.30,0.11,SL,-33.33,0.35,-33.33,9015.36,0.743,mixed,1.00
67,SELL,2026.05.15 16:00:00,4546.15,0.11,4549.15,4526.15,,0.00,0.00,0.00,2026.05.15 16:00:15,4549.16,0.11,SL,-33.11,0.25,-33.11,8982.25,0.782,weak_down,1.00
1,SELL,2024.01.04 08:00:00,2043.82,0.12,2046.82,2023.82,,0.00,0.00,0.00,2024.01.04 08:00:32,2047.04,0.12,SL,-38.64,0.53,-38.64,9961.36,0.804,weak_down,1.00
2,BUY,2024.01.15 16:00:00,2054.31,0.12,2051.31,2074.31,,0.00,0.00,0.00,2024.01.15 17:00:01,2051.31,0.12,SL,-36.00,60.02,-36.00,9925.36,0.804,weak_down,1.00
3,SELL,2024.01.18 12:00:00,2010.19,0.12,2013.19,1990.19,,0.00,0.00,0.00,2024.01.18 13:00:14,2013.56,0.12,SL,-40.44,60.23,-40.44,9884.92,0.804,weak_down,1.00
4,BUY,2024.01.29 16:00:00,2036.92,0.12,2033.92,2056.92,,0.00,0.00,0.00,2024.01.29 16:00:03,2033.91,0.12,SL,-36.12,0.05,-36.12,9848.80,0.804,weak_down,1.00
5,SELL,2024.01.29 20:00:00,2029.36,0.12,2032.36,2009.36,,0.00,0.00,0.00,2024.01.29 22:00:09,2033.25,0.12,SL,-46.68,120.15,-46.68,9802.12,0.804,weak_down,1.00
6,BUY,2024.01.30 08:00:00,2032.24,0.12,2029.24,2052.24,2024.01.30 12:00:00,0.06,2035.80,21.36,2024.01.30 13:00:20,2032.24,0.06,SL,0.00,300.33,21.36,9823.48,0.804,weak_down,1.00
7,SELL,2024.02.07 08:00:00,2033.37,0.12,2036.37,2013.37,,0.00,0.00,0.00,2024.02.07 15:00:10,2036.70,0.12,SL,-39.96,420.17,-39.96,9783.52,0.804,weak_down,1.00
8,BUY,2024.02.20 20:00:00,2028.76,0.12,2025.76,2048.76,,0.00,0.00,0.00,2024.02.20 21:00:38,2025.76,0.12,SL,-36.00,60.63,-36.00,9747.52,0.804,weak_down,1.00
9,SELL,2024.03.18 12:00:00,2153.57,0.12,2156.57,2133.57,,0.00,0.00,0.00,2024.03.18 13:00:16,2156.57,0.12,SL,-36.00,60.27,-36.00,9711.52,0.804,weak_down,1.00
10,BUY,2024.03.21 16:00:00,2207.76,0.12,2204.76,2227.76,,0.00,0.00,0.00,2024.03.21 16:00:03,2204.75,0.12,SL,-36.12,0.05,-36.12,9675.40,0.804,weak_down,1.00
11,SELL,2024.04.23 08:00:00,2305.50,0.12,2308.50,2285.50,,0.00,0.00,0.00,2024.04.23 08:00:09,2308.50,0.12,SL,-36.00,0.15,-36.00,9639.40,0.804,weak_down,1.00
12,BUY,2024.05.08 20:00:00,2317.18,0.12,2314.18,2337.18,,0.00,0.00,0.00,2024.05.08 20:00:21,2313.75,0.12,SL,-41.16,0.35,-41.16,9598.24,0.804,weak_down,1.00
13,SELL,2024.05.24 12:00:00,2340.17,0.12,2343.17,2320.17,,0.00,0.00,0.00,2024.05.24 12:00:08,2343.26,0.12,SL,-37.08,0.13,-37.08,9561.16,0.804,weak_down,1.00
14,BUY,2024.06.06 20:00:00,2372.98,0.11,2369.98,2392.98,,0.00,0.00,0.00,2024.06.06 21:00:14,2369.98,0.11,SL,-33.00,60.23,-33.00,9528.16,0.804,weak_down,1.00
15,BUY,2024.06.19 04:00:00,2329.55,0.11,2326.55,2349.55,,0.00,0.00,0.00,2024.06.19 14:00:02,2326.39,0.11,SL,-34.76,600.03,-34.76,9493.40,0.804,weak_down,1.00
16,SELL,2024.06.26 16:00:00,2310.19,0.11,2313.19,2290.19,2024.06.26 18:00:00,0.06,2297.50,76.14,2024.06.27 12:00:10,2310.19,0.05,SL,3.53,1200.17,79.67,9573.07,0.804,weak_down,1.00
17,SELL,2024.07.23 08:00:00,2396.58,0.11,2399.58,2376.58,,0.00,0.00,0.00,2024.07.23 11:00:05,2399.58,0.11,SL,-33.00,180.08,-33.00,9540.07,0.804,weak_down,1.00
18,BUY,2024.07.31 20:00:00,2427.15,0.11,2424.15,2447.15,,0.00,0.00,0.00,2024.07.31 21:00:00,2424.15,0.11,SL,-33.00,60.00,-33.00,9507.07,0.804,weak_down,1.00
19,SELL,2024.08.07 20:00:00,2399.75,0.11,2402.75,2379.75,2024.08.08 02:00:00,0.06,2383.76,100.18,2024.08.08 09:00:08,2400.79,0.05,SL,-1.67,780.13,98.51,9605.58,0.804,weak_down,1.00
20,BUY,2024.08.13 04:00:00,2472.22,0.12,2469.22,2492.22,,0.00,0.00,0.00,2024.08.13 04:00:05,2469.22,0.12,SL,-36.00,0.08,-36.00,9569.58,0.804,weak_down,1.00
21,SELL,2024.09.03 16:00:00,2493.32,0.11,2496.32,2473.32,,0.00,0.00,0.00,2024.09.03 16:05:39,2496.33,0.11,SL,-33.11,5.65,-33.11,9536.47,0.804,weak_down,1.00
22,BUY,2024.09.09 20:00:00,2504.47,0.11,2501.47,2524.47,,0.00,0.00,0.00,2024.09.09 20:53:42,2501.45,0.11,SL,-33.22,53.70,-33.22,9503.25,0.804,weak_down,1.00
23,SELL,2024.10.03 12:00:00,2645.08,0.11,2648.08,2625.08,,0.00,0.00,0.00,2024.10.03 13:43:39,2648.09,0.11,SL,-33.11,103.65,-33.11,9470.14,0.804,weak_down,1.00
24,BUY,2024.10.15 12:00:00,2654.14,0.11,2651.14,2674.14,,0.00,0.00,0.00,2024.10.15 12:14:38,2651.14,0.11,SL,-33.00,14.63,-33.00,9437.14,0.804,weak_down,1.00
25,SELL,2024.11.05 12:00:00,2739.86,0.11,2742.86,2719.86,2024.11.05 12:21:00,0.06,2736.84,18.12,2024.11.05 12:31:25,2739.86,0.05,SL,0.00,31.42,18.12,9455.26,0.804,weak_down,1.00
26,BUY,2024.11.20 20:00:00,2652.00,0.11,2649.00,2672.00,,0.00,0.00,0.00,2024.11.20 20:14:36,2649.00,0.11,SL,-33.00,14.60,-33.00,9422.26,0.804,weak_down,1.00
27,SELL,2024.11.28 08:00:00,2633.40,0.11,2636.40,2613.40,,0.00,0.00,0.00,2024.11.28 08:30:24,2636.40,0.11,SL,-33.00,30.40,-33.00,9389.26,0.804,weak_down,1.00
28,BUY,2024.12.05 12:00:00,2644.99,0.11,2641.99,2664.99,2024.12.05 12:34:00,0.06,2650.02,30.18,2024.12.05 15:40:38,2644.98,0.05,SL,-0.05,220.63,30.13,9419.39,0.804,weak_down,1.00
29,SELL,2024.12.17 16:00:00,2636.98,0.11,2639.98,2616.98,,0.00,0.00,0.00,2024.12.17 16:04:39,2639.98,0.11,SL,-33.00,4.65,-33.00,9386.39,0.804,weak_down,1.00
30,BUY,2024.12.30 12:00:00,2612.98,0.11,2609.98,2632.98,,0.00,0.00,0.00,2024.12.30 13:00:27,2609.97,0.11,SL,-33.11,60.45,-33.11,9353.28,0.804,weak_down,1.00
31,SELL,2025.02.27 12:00:00,2887.41,0.11,2890.41,2867.41,,0.00,0.00,0.00,2025.02.27 12:25:02,2890.42,0.11,SL,-33.11,25.03,-33.11,9320.17,0.804,weak_down,1.00
32,BUY,2025.03.06 16:00:00,2904.68,0.11,2901.68,2924.68,2025.03.06 16:09:00,0.06,2909.57,29.34,2025.03.07 02:09:16,2904.65,0.05,SL,-3.01,609.27,26.33,9346.50,0.804,weak_down,1.00
