pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
56,BUY,2024.04.04 21:00:08,2305.0,0.1,2301.99,2324.99,,0.0,0.0,0.0,2024.04.04 22:00:03,2301.99,0.1,SL,-30.1,59.92,-30.1,10193.23
57,BUY,2024.04.05 17:00:03,2305.62,0.1,2302.6,2325.6,,0.0,0.0,0.0,2024.04.05 18:00:06,2325.6,0.1,TP,199.8,60.05,199.8,10393.03
58,BUY,2024.04.05 19:00:00,2326.31,0.11,2323.31,2346.31,,0.0,0.0,0.0,2024.04.05 19:00:01,2323.21,0.11,SL,-34.1,0.02,-34.1,10358.93
59,BUY,2024.04.05 23:00:43,2330.18,0.11,2326.5,2349.5,,0.0,0.0,0.0,2024.04.08 02:00:00,2307.58,0.11,SL,-248.6,3059.28,-248.6,10110.33
60,BUY,2024.04.08 05:00:03,2330.51,0.1,2327.49,2350.49,,0.0,0.0,0.0,2024.04.08 05:00:06,2350.49,0.1,TP,199.8,0.05,199.8,10310.13
61,BUY,2024.04.08 06:00:00,2348.22,0.1,2345.22,2368.22,,0.0,0.0,0.0,2024.04.08 06:00:10,2344.02,0.1,SL,-42.0,0.17,-42.0,10268.13
62,BUY,2024.04.09 10:00:13,2354.09,0.1,2351.09,2374.09,,0.0,0.0,0.0,2024.04.09 14:00:14,2351.09,0.1,SL,-30.0,240.02,-30.0,10238.13
63,BUY,2024.04.09 16:00:05,2359.28,0.1,2356.28,2379.28,,0.0,0.0,0.0,2024.04.09 16:00:59,2355.52,0.1,SL,-37.6,0.9,-37.6,10200.53
64,BUY,2024.04.11 22:00:07,2365.35,0.1,2362.35,2385.35,,0.0,0.0,0.0,2024.04.12 04:00:04,2385.35,0.1,TP,200.0,359.95,200.0,10400.53
65,BUY,2024.04.12 05:00:00,2390.87,0.11,2387.87,2410.87,,0.0,0.0,0.0,2024.04.12 05:00:10,2387.87,0.11,SL,-33.0,0.17,-33.0,10367.53
66,BUY,2024.04.12 06:00:00,2390.6,0.11,2387.6,2410.6,,0.0,0.0,0.0,2024.04.12 06:00:15,2387.6,0.11,SL,-33.0,0.25,-33.0,10334.53
67,BUY,2024.04.12 10:00:06,2395.45,0.11,2392.45,2415.45,,0.0,0.0,0.0,2024.04.12 14:00:08,2392.45,0.11,SL,-33.0,240.03,-33.0,10301.53
68,BUY,2024.04.12 16:00:03,2400.67,0.1,2397.67,2420.67,,0.0,0.0,0.0,2024.04.12 17:00:03,2420.69,0.1,TP,200.2,60.0,200.2,10501.73
69,BUY,2024.04.12 18:00:00,2426.78,0.11,2423.78,2446.78,,0.0,0.0,0.0,2024.04.12 18:00:01,2423.75,0.11,SL,-33.33,0.02,-33.33,10468.4
70,SELL,2024.04.22 14:00:05,2351.57,0.11,2354.58,2331.58,,0.0,0.0,0.0,2024.04.22 16:00:02,2331.18,0.11,TP,224.29,119.95,224.29,10692.69
71,SELL,2024.04.22 18:00:10,2332.51,0.11,2336.1,2313.1,,0.0,0.0,0.0,2024.04.22 19:00:01,2336.14,0.11,SL,-39.93,59.85,-39.93,10652.76
72,SELL,2024.04.22 20:00:00,2329.85,0.11,2332.85,2309.85,,0.0,0.0,0.0,2024.04.22 20:00:10,2333.12,0.11,SL,-35.97,0.17,-35.97,10616.79
73,SELL,2024.04.22 21:00:10,2328.88,0.11,2332.0,2309.0,,0.0,0.0,0.0,2024.04.23 02:00:16,2332.07,0.11,SL,-35.09,300.1,-35.09,10581.7
74,SELL,2024.04.23 04:00:03,2324.58,0.11,2327.58,2304.58,,0.0,0.0,0.0,2024.04.23 04:00:06,2304.56,0.11,TP,220.22,0.05,220.22,10801.92
75,SELL,2024.04.23 05:00:00,2298.93,0.39,2301.93,2278.93,,0.0,0.0,0.0,2024.04.23 05:00:04,2301.93,0.39,SL,-117.0,0.07,-117.0,10684.92
76,SELL,2024.04.23 12:00:06,2295.61,0.38,2298.61,2275.61,,0.0,0.0,0.0,2024.04.23 13:00:07,2298.61,0.38,SL,-114.0,60.02,-114.0,10570.92
77,BUY,2024.04.26 09:00:00,2337.87,0.11,2337.87,2357.87,2024.04.26 14:00:00,0.06,2348.12,61.5,2024.04.26 16:00:05,2337.87,0.05,SL,0.0,420.08,61.5,10632.42
78,SELL,2024.04.30 17:00:04,2304.73,0.38,2304.73,2284.73,2024.04.30 19:00:00,0.19,2295.97,166.44,2024.05.01 06:00:38,2284.73,0.19,TP,380.0,780.57,546.44,11178.86
79,SELL,2024.05.01 07:00:00,2284.19,0.4,2287.19,2264.19,,0.0,0.0,0.0,2024.05.01 08:00:41,2287.19,0.4,SL,-120.0,60.68,-120.0,11058.86
80,SELL,2024.05.03 16:00:05,2281.61,0.4,2284.63,2261.63,,0.0,0.0,0.0,2024.05.03 16:00:05,2284.63,0.4,SL,-120.8,0.0,-120.8,10938.06
