run,total_return_pct,sharpe,max_dd_pct,win_rate_pct,final_balance,actual_n_trades,broke
798,-9.966,0.043,-45.179,15.661,9003.357154855647,1143,False
799,-74.379,-0.637,-78.034,14.348,2562.09892213474,1143,False
800,4.284,0.254,-64.539,15.136,10428.43837970253,1143,False
801,-68.459,-0.015,-92.775,14.348,3154.067706036706,1143,False
802,-40.475,-0.129,-64.372,14.611,5952.500951881046,1143,False
803,9.393,0.275,-55.635,16.098,10939.312885389292,1143,False
804,-100.233,-1.903,-100.191,13.088,-23.291681539838464,978,True
805,-17.693,0.072,-52.159,15.573,8230.725098862693,1143,False
806,-60.179,-0.52,-72.649,14.261,3982.123909011376,1143,False
807,-100.583,-1.291,-100.525,13.736,-58.276958880127495,961,True
808,-55.449,-0.318,-68.883,14.261,4455.076629921261,1143,False
809,-100.435,-1.387,-100.435,13.333,-43.5360804899301,735,True
810,-19.369,0.01,-51.382,14.961,8063.091363079637,1143,False
811,-76.96,0.389,-97.656,14.173,2304.03631496061,1143,False
812,-13.871,-0.037,-47.451,15.136,8612.860006999123,1143,False
813,-76.106,-0.749,-79.271,14.086,2389.408948381455,1143,False
814,-90.518,-0.054,-94.153,13.736,948.1866561679781,1143,False
815,-32.712,-0.239,-46.448,15.223,6728.827951006111,1143,False
816,-14.136,0.027,-46.593,15.223,8586.411993000864,1143,False
817,-8.996,0.223,-75.643,14.611,9100.398029746284,1143,False
818,-5.075,0.25,-69.94,15.136,9492.450943132098,1143,False
819,-34.275,-0.126,-58.127,14.961,6572.473515310608,1143,False
820,-25.405,-0.097,-54.3,15.311,7459.454337707804,1143,False
821,10.63,0.284,-35.664,15.923,11062.99624496939,1143,False
822,-38.344,-0.194,-55.756,14.786,6165.640829396312,1143,False
823,14.918,0.333,-31.651,15.573,11491.804118985125,1143,False
824,21.227,0.383,-60.803,15.748,12122.667041119867,1143,False
825,-20.376,0.055,-68.468,15.223,7962.355545056874,1143,False
826,-14.183,0.197,-77.221,14.873,8581.744696412958,1143,False
827,-9.937,0.136,-56.151,15.136,9006.274215223084,1143,False
828,-100.019,-0.125,-100.017,13.725,-1.880458442685267,1071,True
829,-60.01,-0.423,-70.296,14.261,3999.042859142628,1143,False
830,-91.835,-0.214,-97.278,14.086,816.5299982502202,1143,False
831,-28.641,-0.138,-44.545,14.523,7135.855107611542,1143,False
832,2.03,0.272,-75.862,15.486,10203.046848643891,1143,False
833,-33.299,-0.107,-63.493,14.786,6670.097802274742,1143,False
834,65.788,0.86,-21.631,16.798,16578.768458442682,1143,False
835,107.126,1.301,-25.539,17.498,20712.63194050746,1143,False
836,-5.099,0.136,-40.541,15.748,9490.117294838155,1143,False
837,-1.608,0.121,-36.553,15.573,9839.19218547682,1143,False
838,-38.124,-0.222,-44.546,14.786,6187.616017497844,1143,False
839,-100.128,-1.397,-100.117,13.353,-12.770817147891648,1041,True
840,26.125,0.456,-34.913,16.273,12612.538712160973,1143,False
841,-49.545,-0.191,-76.506,14.698,5045.489648293947,1143,False
842,-100.046,-0.216,-100.045,13.608,-4.622495188092216,948,True
843,-100.292,-0.681,-100.286,13.431,-29.164696412932244,752,True
844,-72.819,-0.49,-82.679,14.611,2718.064416447929,1143,False
845,-45.321,-0.47,-51.801,14.698,5467.879989501331,1143,False
846,-55.327,-0.239,-70.062,14.436,4467.328283464568,1143,False
847,-33.453,-0.1,-58.935,14.961,6654.734617672802,1143,False
848,34.143,0.553,-24.859,16.36,13414.341371828461,1143,False
849,-27.749,-0.007,-62.072,15.223,7225.117154855638,1143,False
850,10.321,0.277,-32.413,15.311,11032.075405074358,1143,False
851,-59.356,-0.566,-73.176,14.436,4064.3850113735652,1143,False
852,-37.787,-0.2,-56.632,14.961,6221.259447069098,1143,False
853,4.273,0.214,-46.188,15.573,10427.271555555539,1143,False
854,-37.999,-0.079,-77.374,15.486,6200.062141732249,1143,False
855,-20.833,0.017,-52.961,15.048,7916.654932633435,1143,False
856,-100.087,-2.126,-100.085,13.905,-8.667485564325034,1014,True
857,18.72,0.361,-45.256,16.273,11871.994320209982,1143,False
858,-100.18,-0.636,-100.174,12.162,-18.002078740151774,444,True
859,-100.014,-1.06,-100.013,13.158,-1.394281714763565,836,True
860,0.98,0.167,-43.855,15.748,10098.032675415569,1143,False
861,-44.396,-0.37,-48.758,14.523,5560.448038495217,1143,False
862,-66.76,-0.253,-80.304,14.436,3324.0350901137417,1143,False
863,-25.477,-0.085,-54.728,15.048,7452.25892213472,1143,False
864,-19.855,-0.011,-44.259,15.486,8014.473690288685,1143,False
865,25.653,0.451,-30.713,16.448,12565.282334208237,1143,False
866,-42.198,-0.297,-54.254,14.261,5780.199919510044,1143,False
867,-37.167,-0.242,-52.274,14.873,6283.295597550328,1143,False
868,20.56,0.378,-42.637,15.748,12055.963594050747,1143,False
869,74.957,0.749,-46.699,16.973,17495.697767279064,1143,False
870,-81.983,-0.35,-87.186,13.998,1801.718519685006,1143,False
871,-100.148,-0.288,-100.136,13.772,-14.832206474187842,973,True
872,-100.476,0.584,-100.454,13.873,-47.56162379696616,1074,True
873,-86.053,-1.157,-88.505,13.998,1394.691363079637,1143,False
874,-33.82,-0.043,-73.319,15.048,6617.979657042875,1143,False
875,-25.929,-0.256,-63.281,15.398,7407.141721784785,1143,False
876,-82.059,-0.519,-85.504,14.261,1794.1341627296642,1143,False
877,-16.997,-0.032,-43.08,15.923,8300.34560629919,1143,False
878,18.138,0.366,-36.662,16.185,11813.847583552068,1143,False
879,-10.875,0.064,-36.839,15.748,8912.539342082244,1143,False
