pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
163,SELL,2024.08.07 03:00:05,2381.18,0.24,2384.79,2361.79,,0.0,0.0,0.0,2024.08.07 03:00:10,2385.37,0.24,SL,-100.56,0.08,-100.56,13034.53
164,SELL,2024.08.07 04:00:07,2381.79,0.24,2384.79,2361.79,,0.0,0.0,0.0,2024.08.07 05:00:06,2386.0,0.24,SL,-101.04,59.98,-101.04,12933.49
165,BUY,2024.08.08 21:00:16,2424.38,0.13,2421.38,2444.38,,0.0,0.0,0.0,2024.08.09 04:00:01,2421.06,0.13,SL,-43.16,419.75,-43.16,12890.33
166,BUY,2024.08.09 05:00:00,2427.32,0.13,2424.32,2447.32,,0.0,0.0,0.0,2024.08.09 05:00:13,2424.32,0.13,SL,-39.0,0.22,-39.0,12851.33
167,BUY,2024.08.09 13:00:12,2428.96,0.13,2425.96,2448.96,,0.0,0.0,0.0,2024.08.09 14:00:14,2425.22,0.13,SL,-48.62,60.03,-48.62,12802.71
168,BUY,2024.08.09 15:00:10,2429.94,0.12,2425.96,2448.96,,0.0,0.0,0.0,2024.08.09 16:00:05,2425.96,0.12,SL,-47.76,59.92,-47.76,12754.95
169,BUY,2024.08.09 17:00:06,2432.65,0.12,2429.65,2452.65,,0.0,0.0,0.0,2024.08.09 17:00:09,2429.64,0.12,SL,-36.12,0.05,-36.12,12718.83
170,BUY,2024.08.09 18:00:10,2432.67,0.12,2429.65,2452.65,,0.0,0.0,0.0,2024.08.09 19:00:01,2429.65,0.12,SL,-36.24,59.85,-36.24,12682.59
171,BUY,2024.08.09 20:00:00,2434.55,0.12,2431.55,2454.55,,0.0,0.0,0.0,2024.08.09 20:00:14,2430.54,0.12,SL,-48.12,0.23,-48.12,12634.47
172,BUY,2024.08.12 09:00:14,2437.29,0.12,2437.29,2457.29,2024.08.12 11:00:00,0.06,2441.68,26.34,2024.08.12 16:00:07,2457.3,0.06,TP,120.06,419.88,146.4,12780.87
173,BUY,2024.08.12 17:00:00,2454.31,0.12,2451.31,2474.31,,0.0,0.0,0.0,2024.08.12 17:00:05,2451.31,0.12,SL,-36.0,0.08,-36.0,12744.87
174,BUY,2024.08.12 18:00:00,2453.43,0.12,2453.43,2473.43,2024.08.12 19:00:00,0.06,2459.84,38.46,2024.08.13 02:00:00,2473.78,0.06,TP,122.1,480.0,160.56,12905.43
175,BUY,2024.08.13 02:00:00,2473.8,0.13,2470.8,2493.8,,0.0,0.0,0.0,2024.08.13 03:00:13,2470.79,0.13,SL,-39.13,60.22,-39.13,12866.3
176,BUY,2024.08.13 04:00:01,2473.37,0.13,2470.16,2493.16,,0.0,0.0,0.0,2024.08.13 04:00:04,2470.16,0.13,SL,-41.73,0.05,-41.73,12824.57
177,BUY,2024.08.14 11:00:10,2476.96,0.13,2473.96,2496.96,,0.0,0.0,0.0,2024.08.14 12:00:09,2473.96,0.13,SL,-39.0,59.98,-39.0,12785.57
178,BUY,2024.08.14 15:00:03,2479.89,0.12,2475.75,2498.75,,0.0,0.0,0.0,2024.08.14 15:00:04,2475.74,0.12,SL,-49.8,0.02,-49.8,12735.77
179,BUY,2024.08.15 22:00:01,2460.82,0.12,2456.92,2479.92,,0.0,0.0,0.0,2024.08.15 22:00:10,2456.69,0.12,SL,-49.56,0.15,-49.56,12686.21
180,BUY,2024.08.16 15:00:04,2479.87,0.12,2479.87,2499.87,2024.08.16 16:00:00,0.06,2491.81,71.64,2024.08.16 16:00:05,2499.87,0.06,TP,120.0,60.02,191.64,12877.85
181,BUY,2024.08.16 17:00:00,2494.6,0.13,2491.6,2514.6,,0.0,0.0,0.0,2024.08.16 17:00:02,2491.59,0.13,SL,-39.13,0.03,-39.13,12838.72
182,BUY,2024.08.16 19:00:05,2492.49,0.13,2492.49,2512.49,2024.08.16 20:00:00,0.07,2495.9,23.87,2024.08.19 13:00:13,2492.49,0.06,SL,0.0,3960.13,23.87,12862.59
183,BUY,2024.08.20 10:00:10,2510.14,0.13,2510.14,2530.14,2024.08.20 11:00:00,0.07,2515.0,34.02,2024.08.20 16:00:06,2530.14,0.06,TP,120.0,359.93,154.02,13016.61
184,BUY,2024.08.20 17:00:00,2530.05,0.13,2527.05,2550.05,,0.0,0.0,0.0,2024.08.20 17:00:03,2527.05,0.13,SL,-39.0,0.05,-39.0,12977.61
185,BUY,2024.08.26 13:00:01,2526.28,0.1,2522.79,2545.79,,0.0,0.0,0.0,2024.08.26 13:00:14,2522.66,0.1,SL,-36.2,0.22,-36.2,12941.41
