Date,equity
2024-07-24,15478.414393700798
2024-07-25,15047.83683639546
2024-07-31,15372.097266841654
2024-08-01,15573.335538057752
2024-08-02,15388.802299212606
2024-08-06,15081.246901137367
2024-08-07,14896.713662292223
2024-08-08,14835.202582677175
2024-08-09,14404.625025371837
2024-08-12,14667.374376202984
2024-08-13,14605.863296587935
2024-08-14,14482.841137357838
2024-08-15,14298.307898512696
2024-08-16,14622.568328958889
2024-08-19,14561.057249343841
2024-08-20,14823.806600174987
2024-08-26,14700.784440944892
2024-08-28,14639.273361329842
2024-08-30,14577.762281714793
2024-09-02,14454.740122484698
2024-09-03,14147.184724409457
2024-09-04,14085.67364479441
2024-09-05,13962.651485564314
2024-09-06,13839.629326334218
2024-09-10,13778.118246719168
2024-09-12,14040.867597550316
2024-09-13,14365.12802799651
2024-09-16,14555.145340332463
2024-09-17,14493.634260717416
2024-09-18,14370.612101487319
2024-09-19,14309.10102187227
2024-09-20,14571.850372703417
2024-09-23,14264.294974628177
2024-09-24,14912.815835520565
2024-09-25,14728.28259667542
2024-09-26,14543.749357830276
2024-09-27,14482.238278215227
2024-09-30,14174.682880139988
2024-10-08,14113.171800524939
2024-10-09,14323.141805774285
2024-10-14,14200.119646544188
2024-10-15,14138.608566929139
2024-10-16,13892.564248468947
2024-10-17,13646.519930008755
2024-10-18,13847.758201224853
2024-10-21,14172.018631671046
2024-10-22,14048.996472440951
2024-10-23,13864.463233595807
2024-10-30,14065.701504811905
2024-10-31,13881.16826596676
2024-11-01,13758.146106736664
2024-11-04,13696.635027121616
2024-11-05,13573.61286789152
2024-11-06,13651.82897987752
2024-11-07,13590.317900262473
2024-11-11,13467.295741032376
2024-11-12,13730.045091863522
2024-11-13,13668.534012248474
2024-11-14,14378.565952755911
2024-11-18,14317.054873140863
2024-11-19,14641.315303587056
2024-11-20,14842.553574803154
2024-11-21,15105.3029256343
2024-11-22,16139.595296587931
2024-11-25,15832.039898512692
2024-11-26,15524.484500437451
2024-12-09,15278.440181977257
2024-12-10,15155.418022747162
2024-12-11,15479.678453193355
2024-12-12,15803.93888363955
2024-12-13,15557.894565179358
2024-12-16,15496.383485564309
2024-12-17,15311.850246719165
2024-12-18,16021.882187226602
2024-12-19,15960.371107611554
2024-12-27,15898.860027996505
2024-12-30,15775.837868766408
2025-01-02,15792.542901137364
2025-01-03,15546.49858267717
2025-01-06,15484.987503062122
2025-01-08,15361.965343832026
2025-01-09,15300.454264216976
2025-01-10,15054.409945756785
2025-01-13,14931.387786526688
2025-01-14,14869.87670691164
2025-01-16,15071.114978127738
2025-01-17,15009.60389851269
2025-01-21,14825.070659667545
2025-01-22,15087.820010498692
2025-01-24,15350.569361329839
2025-01-28,15227.547202099742
2025-01-30,15104.525042869645
2025-01-31,15305.763314085743
2025-02-03,15182.741154855648
2025-02-04,15059.718995625553
2025-02-05,15909.478127734039
2025-02-07,15847.96704811899
2025-02-10,15987.69423972004
2025-02-11,15803.161000874896
2025-02-17,15680.138841644799
2025-02-19,15434.094523184607
2025-02-20,15311.07236395451
2025-02-24,15249.561284339463
2025-02-27,15003.51696587927
2025-02-28,15266.266316710417
2025-03-04,15081.733077865272
2025-03-05,15020.221998250225
2025-03-07,14958.710918635175
2025-03-10,14835.688759405079
2025-03-11,14774.177679790031
2025-03-13,15176.654222222227
2025-03-14,14869.098824146986
2025-03-18,15008.826015748036
2025-03-19,14824.292776902892
2025-03-20,14701.270617672795
2025-03-21,14578.2484584427
2025-03-27,14393.715219597556
2025-03-28,14533.442411198605
2025-03-31,15058.941112860897
2025-04-01,15383.201543307092
2025-04-03,15198.668304461946
2025-04-04,15215.373336832901
2025-04-07,15293.589448818902
2025-04-09,15047.54513035871
2025-04-10,14555.456493438325
