pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
1213,BUY,2026.01.09 19:45:00,4502.33,0.11,4499.33,4522.33,,0.0,0.0,0.0,2026.01.09 19:48:49,4499.3,0.11,SL,-33.33,3.82,-33.33,16897.83
1214,BUY,2026.01.12 01:05:00,4521.49,0.11,4521.49,4541.49,2026.01.12 01:09:00,0.06,4525.43,23.64,2026.01.12 01:41:27,4541.6,0.05,TP,100.55,36.45,124.19,17022.02
1215,BUY,2026.01.12 01:45:00,4542.43,0.12,4539.43,4562.43,,0.0,0.0,0.0,2026.01.12 01:50:14,4539.42,0.12,SL,-36.12,5.23,-36.12,16985.9
1216,BUY,2026.01.12 02:00:00,4540.35,0.12,4537.35,4560.35,,0.0,0.0,0.0,2026.01.12 02:00:42,4537.35,0.12,SL,-36.0,0.7,-36.0,16949.9
1217,BUY,2026.01.12 02:15:00,4553.54,0.12,4553.54,4573.54,2026.01.12 02:21:00,0.06,4562.85,55.86,2026.01.12 02:32:27,4573.94,0.06,TP,122.4,17.45,178.26,17128.16
1218,BUY,2026.01.12 02:45:00,4591.57,0.12,4588.57,4611.57,,0.0,0.0,0.0,2026.01.12 02:46:08,4588.56,0.12,SL,-36.12,1.13,-36.12,17092.04
1219,BUY,2026.01.12 03:00:00,4589.15,0.12,4586.15,4609.15,,0.0,0.0,0.0,2026.01.12 03:00:26,4585.9,0.12,SL,-39.0,0.43,-39.0,17053.04
1220,BUY,2026.01.12 03:15:00,4581.96,0.12,4578.96,4601.96,,0.0,0.0,0.0,2026.01.12 03:15:41,4578.95,0.12,SL,-36.12,0.68,-36.12,17016.92
1221,BUY,2026.01.12 03:30:00,4582.9,0.12,4579.9,4602.9,,0.0,0.0,0.0,2026.01.12 03:33:59,4579.59,0.12,SL,-39.72,3.98,-39.72,16977.2
1222,BUY,2026.01.13 16:47:15,4630.35,0.11,4627.08,4650.08,,0.0,0.0,0.0,2026.01.13 16:52:37,4627.08,0.11,SL,-35.97,5.37,-35.97,16941.23
1223,BUY,2026.01.13 17:00:00,4630.1,0.11,4627.1,4650.1,,0.0,0.0,0.0,2026.01.13 17:00:41,4626.75,0.11,SL,-36.85,0.68,-36.85,16904.38
1224,BUY,2026.01.14 07:01:55,4634.62,0.11,4631.43,4654.43,,0.0,0.0,0.0,2026.01.14 07:21:51,4631.36,0.11,SL,-35.86,19.93,-35.86,16868.52
1225,BUY,2026.01.14 07:30:00,4634.22,0.12,4634.22,4654.22,2026.01.14 07:35:00,0.06,4638.34,24.72,2026.01.14 07:51:47,4634.18,0.06,SL,-0.24,21.78,24.48,16893.0
1226,BUY,2026.01.14 08:14:20,4634.56,0.12,4631.43,4654.43,,0.0,0.0,0.0,2026.01.14 08:21:56,4631.31,0.12,SL,-39.0,7.6,-39.0,16854.0
1227,BUY,2026.01.14 09:27:04,4639.71,0.12,4636.68,4659.68,,0.0,0.0,0.0,2026.01.14 09:30:16,4636.59,0.12,SL,-37.44,3.2,-37.44,16816.56
1228,BUY,2026.01.14 11:19:27,4639.71,0.12,4636.68,4659.68,,0.0,0.0,0.0,2026.01.14 11:22:13,4636.66,0.12,SL,-36.6,2.77,-36.6,16779.96
1229,BUY,2026.01.14 14:59:03,4640.22,0.12,4636.68,4659.68,,0.0,0.0,0.0,2026.01.14 15:00:27,4636.51,0.12,SL,-44.52,1.4,-44.52,16735.44
1230,BUY,2026.01.14 21:02:22,4642.13,0.12,4638.69,4661.69,,0.0,0.0,0.0,2026.01.14 21:03:56,4638.58,0.12,SL,-42.6,1.57,-42.6,16692.84
1231,BUY,2026.01.19 01:05:00,4649.31,0.12,4649.31,4669.31,2026.01.19 01:10:00,0.06,4654.46,30.9,2026.01.19 01:22:09,4669.49,0.06,TP,121.08,17.15,151.98,16844.82
1232,BUY,2026.01.19 01:30:00,4679.09,0.13,4676.09,4699.09,,0.0,0.0,0.0,2026.01.19 01:34:55,4676.08,0.13,SL,-39.13,4.92,-39.13,16805.69
1233,BUY,2026.01.19 01:45:00,4672.5,0.13,4669.5,4692.5,,0.0,0.0,0.0,2026.01.19 01:47:05,4669.37,0.13,SL,-40.69,2.08,-40.69,16765.0
1234,BUY,2026.01.19 02:00:00,4673.07,0.13,4670.07,4693.07,,0.0,0.0,0.0,2026.01.19 02:00:38,4669.93,0.13,SL,-40.82,0.63,-40.82,16724.18
1235,BUY,2026.01.19 02:15:00,4665.75,0.13,4662.75,4685.75,,0.0,0.0,0.0,2026.01.19 02:19:48,4661.68,0.13,SL,-52.91,4.8,-52.91,16671.27
1236,BUY,2026.01.19 02:30:01,4676.1,0.13,4676.1,4696.1,2026.01.19 02:44:00,0.07,4680.4,30.1,2026.01.19 02:47:21,4676.07,0.06,SL,-0.18,17.33,29.92,16701.19
1237,BUY,2026.01.19 03:00:00,4675.55,0.13,4672.55,4695.55,,0.0,0.0,0.0,2026.01.19 03:00:45,4672.42,0.13,SL,-40.69,0.75,-40.69,16660.5
1238,BUY,2026.01.19 03:15:00,4663.36,0.13,4660.36,4683.36,,0.0,0.0,0.0,2026.01.19 03:16:53,4660.19,0.13,SL,-41.21,1.88,-41.21,16619.29
1239,BUY,2026.01.20 06:35:43,4690.44,0.21,4690.44,4710.44,2026.01.20 06:58:00,0.11,4693.66,35.42,2026.01.20 07:55:10,4710.51,0.09999999999999999,TP,200.7,79.45,236.12,16855.41
1240,BUY,2026.01.20 08:00:00,4714.78,0.22,4711.78,4734.78,,0.0,0.0,0.0,2026.01.20 08:00:37,4711.74,0.22,SL,-66.88,0.62,-66.88,16788.53
1241,BUY,2026.01.20 09:12:21,4716.64,0.21,4716.64,4736.64,2026.01.20 09:37:01,0.11,4720.2,39.16,2026.01.20 09:54:48,4716.63,0.09999999999999999,SL,-0.1,42.45,39.06,16827.59
1242,BUY,2026.01.20 10:00:00,4716.34,0.22,4716.34,4736.34,2026.01.20 10:06:00,0.11,4720.02,40.48,2026.01.20 10:36:31,4716.28,0.11,SL,-0.66,36.52,39.82,16867.41
1243,BUY,2026.01.20 10:45:00,4723.17,0.22,4723.17,4743.17,2026.01.20 10:56:00,0.11,4728.3,56.43,2026.01.20 11:16:14,4723.16,0.11,SL,-0.11,31.23,56.32,16923.73
1244,BUY,2026.01.20 11:30:00,4733.56,0.22,4730.56,4753.56,,0.0,0.0,0.0,2026.01.20 12:00:17,4730.53,0.22,SL,-66.66,30.28,-66.66,16857.07
1245,BUY,2026.01.20 15:59:51,4737.37,0.22,4737.37,4757.37,2026.01.20 16:04:00,0.11,4745.88,93.61,2026.01.20 16:05:48,4737.26,0.11,SL,-1.21,5.95,92.4,16949.47
1246,BUY,2026.01.20 16:15:00,4741.24,0.22,4741.24,4761.24,2026.01.20 16:24:00,0.11,4745.52,47.08,2026.01.20 16:24:41,4741.24,0.11,SL,0.0,9.68,47.08,16996.55
1247,BUY,2026.01.21 01:44:05,4766.35,0.21,4766.35,4786.35,2026.01.21 01:49:00,0.11,4779.91,149.16,2026.01.21 02:53:30,4786.38,0.09999999999999999,TP,200.3,69.42,349.46,17346.01
1248,BUY,2026.01.21 03:00:00,4784.8,0.21,4784.8,4804.8,2026.01.21 03:04:00,0.11,4788.47,40.37,2026.01.21 03:13:52,4804.8,0.09999999999999999,TP,200.0,13.87,240.37,17586.38
1249,BUY,2026.01.21 03:15:00,4807.96,0.21,4804.96,4827.96,,0.0,0.0,0.0,2026.01.21 03:17:51,4804.92,0.21,SL,-63.84,2.85,-63.84,17522.54
1250,BUY,2026.01.21 03:30:00,4827.7,0.21,4824.7,4847.7,,0.0,0.0,0.0,2026.01.21 03:33:05,4824.67,0.21,SL,-63.63,3.08,-63.63,17458.91
1251,BUY,2026.01.21 03:45:00,4819.24,0.21,4819.24,4839.24,2026.01.21 03:47:00,0.11,4823.17,43.23,2026.01.21 03:54:46,4839.31,0.09999999999999999,TP,200.7,9.77,243.93,17702.84
1252,BUY,2026.01.21 04:00:00,4835.53,0.22,4832.53,4855.53,,0.0,0.0,0.0,2026.01.21 04:08:55,4831.84,0.22,SL,-81.18,8.92,-81.18,17621.66
1253,BUY,2026.01.21 05:03:53,4844.25,0.22,4841.23,4864.23,,0.0,0.0,0.0,2026.01.21 05:13:42,4841.12,0.22,SL,-68.86,9.82,-68.86,17552.8
1254,BUY,2026.01.21 05:40:42,4844.37,0.21,4841.23,4864.23,,0.0,0.0,0.0,2026.01.21 05:45:30,4841.19,0.21,SL,-66.78,4.8,-66.78,17486.02
1255,BUY,2026.01.22 19:22:54,4888.58,0.22,4888.58,4908.58,2026.01.22 19:29:00,0.11,4891.55,32.67,2026.01.22 20:03:13,4909.33,0.11,TP,228.25,40.32,260.92,17746.94
1256,BUY,2026.01.22 20:15:00,4908.71,0.23,4908.71,4928.71,2026.01.22 20:40:00,0.12,4913.81,61.2,2026.01.22 21:48:24,4908.59,0.11000000000000001,SL,-1.32,93.4,59.88,17806.82
1257,BUY,2026.01.22 22:00:00,4912.17,0.23,4912.17,4932.17,2026.01.22 22:08:01,0.12,4922.22,120.6,2026.01.22 23:33:48,4932.43,0.11000000000000001,TP,222.86,93.8,343.46,18150.28
1258,BUY,2026.01.22 23:45:00,4939.28,0.23,4936.28,4959.28,,0.0,0.0,0.0,2026.01.22 23:49:53,4936.23,0.23,SL,-70.15,4.88,-70.15,18080.13
1259,BUY,2026.01.23 01:15:00,4943.19,0.22,4940.19,4963.19,,0.0,0.0,0.0,2026.01.23 01:19:33,4940.17,0.22,SL,-66.44,4.55,-66.44,18013.69
1260,BUY,2026.01.23 01:30:00,4940.53,0.22,4937.53,4960.53,,0.0,0.0,0.0,2026.01.23 01:30:31,4936.31,0.22,SL,-92.84,0.52,-92.84,17920.85
1261,BUY,2026.01.23 01:45:10,4940.69,0.22,4940.69,4960.69,2026.01.23 01:49:00,0.11,4951.2,115.61,2026.01.23 02:02:19,4960.74,0.11,TP,220.55,17.15,336.16,18257.01
1262,BUY,2026.01.23 02:15:00,4951.91,0.23,4951.91,4971.91,2026.01.23 02:18:00,0.12,4956.11,50.4,2026.01.23 02:24:15,4951.76,0.11000000000000001,SL,-1.65,9.25,48.75,18305.76
1263,BUY,2026.01.23 02:30:00,4952.33,0.23,4949.33,4972.33,,0.0,0.0,0.0,2026.01.23 02:33:48,4949.32,0.23,SL,-69.23,3.8,-69.23,18236.53
1264,BUY,2026.01.23 02:45:00,4949.71,0.23,4949.71,4969.71,2026.01.23 02:53:02,0.12,4954.67,59.52,2026.01.23 03:02:13,4949.54,0.11000000000000001,SL,-1.87,17.22,57.65,18294.18
1265,BUY,2026.01.23 03:15:00,4949.42,0.23,4946.42,4969.42,,0.0,0.0,0.0,2026.01.23 03:18:59,4946.36,0.23,SL,-70.38,3.98,-70.38,18223.8
1266,BUY,2026.01.23 03:30:00,4948.12,0.23,4948.12,4968.12,2026.01.23 03:36:00,0.12,4953.9,69.36,2026.01.23 04:10:39,4947.91,0.11000000000000001,SL,-2.31,40.65,67.05,18290.85
1267,BUY,2026.01.26 01:15:00,5021.22,0.26,5021.22,5041.22,2026.01.26 01:23:00,0.13,5025.29,52.91,2026.01.26 01:26:30,5019.8,0.13,SL,-18.46,11.5,34.45,18325.3
1268,BUY,2026.01.26 01:30:00,5019.26,0.26,5019.26,5039.26,2026.01.26 01:34:00,0.13,5023.17,50.83,2026.01.26 01:36:24,5019.26,0.13,SL,0.0,6.4,50.83,18376.13
1269,BUY,2026.01.26 01:45:00,5025.11,0.26,5025.11,5045.11,2026.01.26 01:48:00,0.13,5032.56,96.85,2026.01.26 02:32:33,5045.13,0.13,TP,260.26,47.55,357.11,18733.24
