pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance
1323,BUY,2026.02.11 13:15:02,5090.69,1.74,5090.69,5110.69,2026.02.11 13:19:00,0.87,5095.23,394.98,2026.02.11 13:45:01,5110.75,0.87,TP,1745.22,29.98,2140.2,52662.92
1324,BUY,2026.02.11 14:00:00,5115.65,1.81,5112.65,5135.65,,0.0,0.0,0.0,2026.02.11 14:01:11,5112.52,1.81,SL,-566.53,1.18,-566.53,52096.39
1325,BUY,2026.02.11 14:15:00,5105.76,1.79,5102.76,5125.76,,0.0,0.0,0.0,2026.02.11 14:15:57,5102.76,1.79,SL,-537.0,0.95,-537.0,51559.39
1326,BUY,2026.02.11 14:30:00,5095.22,1.77,5092.22,5115.22,,0.0,0.0,0.0,2026.02.11 14:31:35,5091.82,1.77,SL,-601.8,1.58,-601.8,50957.59
1327,BUY,2026.02.11 15:01:41,5086.76,1.75,5083.47,5106.47,,0.0,0.0,0.0,2026.02.11 15:02:40,5083.39,1.75,SL,-589.75,0.98,-589.75,50367.84
1328,BUY,2026.02.11 15:26:40,5086.54,1.73,5083.47,5106.47,,0.0,0.0,0.0,2026.02.11 15:29:32,5083.03,1.73,SL,-607.23,2.87,-607.23,49760.61
1329,SELL,2026.02.17 07:31:50,4878.3,3.21,4881.37,4858.37,,0.0,0.0,0.0,2026.02.17 07:31:56,4881.37,3.21,SL,-985.47,0.1,-985.47,48775.14
1330,SELL,2026.02.17 07:45:25,4877.89,3.14,4881.37,4858.37,,0.0,0.0,0.0,2026.02.17 07:46:16,4881.4,3.14,SL,-1102.14,0.85,-1102.14,47673.0
1331,SELL,2026.02.17 16:01:17,4858.62,3.07,4861.82,4838.82,,0.0,0.0,0.0,2026.02.17 16:03:15,4861.82,3.07,SL,-982.4,1.97,-982.4,46690.6
1332,SELL,2026.02.17 16:50:43,4858.76,3.01,4861.82,4838.82,,0.0,0.0,0.0,2026.02.17 16:51:05,4861.82,3.01,SL,-921.06,0.37,-921.06,45769.54
1333,SELL,2026.02.17 17:00:06,4857.13,2.94,4861.82,4838.82,,0.0,0.0,0.0,2026.02.17 17:01:47,4861.84,2.94,SL,-1384.74,1.68,-1384.74,44384.8
1334,SELL,2026.02.17 17:15:00,4857.23,2.85,4860.23,4837.23,,0.0,0.0,0.0,2026.02.17 17:16:05,4860.36,2.85,SL,-892.05,1.08,-892.05,43492.75
